2026-04-01 01:35:03 | INFO | === gifdroid_llm.2026-04-01T05-35-03__run-003__pipeline__started ===
2026-04-01 01:35:03 | INFO | Starting gifdroid_llm pipeline
2026-04-01 01:35:03 | INFO | Resolved video path: /Users/tanmaybhuskute/Documents/gifdroid-reproduction/apps/adaway/videos/screenrec/srv-001.mp4
2026-04-01 01:35:03 | INFO | Environment validated for llm=llama model=llama3.2-vision
2026-04-01 01:35:03 | INFO | Running llama prerequisite check before trace generation | timeout=unlimited
2026-04-01 01:35:10 | INFO | Starting frame extraction | native_fps=25.935 target_fps=1.500 stride=17 total_frames=772
2026-04-01 01:35:11 | INFO | Frame extraction complete | sampled_frames=46
2026-04-01 01:35:11 | INFO | Keyframe selection complete | method=llm_assisted threshold=4.514 selected=8 sampled=46
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=8 | content=' showing'
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=8 | content=' initial'
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=9 | content=' disabled'
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=6 | content=' state'
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=4 | content='.",\n'
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=10 | content='confidence'
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=1 | content='0'
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=1 | content='.'
2026-04-01 01:37:34 | DEBUG | Llama token chunk | chars=2 | content='92'
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=2 | content=',\n'
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=6 | content='motion'
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=6 | content='_score'
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=1 | content='0'
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=1 | content='.'
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=1 | content='0'
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=1 | content='\n'
2026-04-01 01:37:35 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=4 | content=' },\n'
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=3 | content=' {\n'
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=6 | content='screen'
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=12 | content='_description'
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=2 | content='Ad'
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=4 | content='Away'
2026-04-01 01:37:36 | DEBUG | Llama token chunk | chars=5 | content=' home'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=7 | content=' screen'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=8 | content=' showing'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=7 | content=' Enable'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=7 | content=' button'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=4 | content=' and'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=7 | content=' status'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=9 | content=' disabled'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=6 | content='action'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=5 | content='_type'
2026-04-01 01:37:37 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=3 | content='tap'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=6 | content='target'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=6 | content='Enable'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=7 | content=' button'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:38 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=7 | content='details'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=4 | content='User'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=7 | content=' tapped'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=4 | content=' the'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=7 | content=' Enable'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=7 | content=' button'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=3 | content=' to'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=7 | content=' enable'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=3 | content=' Ad'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=4 | content='Away'
2026-04-01 01:37:39 | DEBUG | Llama token chunk | chars=4 | content='.",\n'
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=10 | content='confidence'
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=1 | content='0'
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=1 | content='.'
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=2 | content='95'
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=2 | content=',\n'
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=6 | content='motion'
2026-04-01 01:37:40 | DEBUG | Llama token chunk | chars=6 | content='_score'
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=2 | content='59'
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=1 | content='.'
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=1 | content='4'
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=1 | content='\n'
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=4 | content=' },\n'
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=3 | content=' {\n'
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:41 | DEBUG | Llama token chunk | chars=6 | content='screen'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=12 | content='_description'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=2 | content='Ad'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=4 | content='Away'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=5 | content=' home'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=7 | content=' screen'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=8 | content=' showing'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=7 | content=' Enable'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=7 | content=' button'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=4 | content=' and'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=7 | content=' status'
2026-04-01 01:37:42 | DEBUG | Llama token chunk | chars=8 | content=' enabled'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=6 | content='action'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=5 | content='_type'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=4 | content='wait'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=6 | content='target'
2026-04-01 01:37:43 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=2 | content='Ad'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=4 | content='Away'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=5 | content=' home'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=7 | content=' screen'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=7 | content='details'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=4 | content='User'
2026-04-01 01:37:44 | DEBUG | Llama token chunk | chars=7 | content=' waited'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=4 | content=' for'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=3 | content=' Ad'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=4 | content='Away'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=3 | content=' to'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=7 | content=' enable'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=4 | content='.",\n'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=10 | content='confidence'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=1 | content='0'
2026-04-01 01:37:45 | DEBUG | Llama token chunk | chars=1 | content='.'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=2 | content='98'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=2 | content=',\n'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=6 | content='motion'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=6 | content='_score'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=2 | content='31'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=1 | content='.'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=1 | content='9'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=1 | content='\n'
2026-04-01 01:37:46 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=4 | content=' },\n'
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=3 | content=' {\n'
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=6 | content='screen'
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=12 | content='_description'
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=2 | content='Ad'
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=4 | content='Away'
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=5 | content=' home'
2026-04-01 01:37:47 | DEBUG | Llama token chunk | chars=7 | content=' screen'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=8 | content=' showing'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=7 | content=' Enable'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=7 | content=' button'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=4 | content=' and'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=7 | content=' status'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=8 | content=' enabled'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=6 | content='action'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=5 | content='_type'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:48 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=4 | content='type'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=6 | content='target'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=2 | content='Ad'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=4 | content='Away'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=5 | content=' home'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=7 | content=' screen'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=3 | content='",\n'
2026-04-01 01:37:49 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=7 | content='details'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=4 | content='User'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=6 | content=' typed'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=3 | content=' in'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=4 | content=' the'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=3 | content=' Ad'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=4 | content='Away'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=5 | content=' home'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=7 | content=' screen'
2026-04-01 01:37:50 | DEBUG | Llama token chunk | chars=4 | content='.",\n'
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=10 | content='confidence'
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=1 | content='0'
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=1 | content='.'
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=2 | content='99'
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=2 | content=',\n'
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=6 | content='motion'
2026-04-01 01:37:51 | DEBUG | Llama token chunk | chars=6 | content='_score'
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=1 | content='9'
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=1 | content='.'
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=1 | content='7'
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=1 | content='\n'
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=4 | content=' },\n'
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=1 | content=' '
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=3 | content=' {\n'
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=3 | content='   '
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:52 | DEBUG | Llama token chunk | chars=6 | content='screen'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=12 | content='_description'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=2 | content='":'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=2 | content=' "'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=2 | content='Ad'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=4 | content='Away'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=5 | content=' home'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=7 | content=' screen'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=8 | content=' showing'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=7 | content=' Enable'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=7 | content=' button'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=4 | content=' and'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=7 | content=' status'
2026-04-01 01:37:53 | DEBUG | Llama token chunk | chars=8 | content=' enabled'
